product_id,category_id,supplier_id,price,category_name,country
1,9,135,3987,Cat_9,China
2,18,194,4412,Cat_18,China
3,23,118,3548,Cat_23,USA
4,19,139,1971,Cat_19,China
5,10,115,4495,Cat_10,China
6,17,53,2634,Cat_17,USA
7,8,160,3028,Cat_8,USA
8,30,21,3686,Cat_30,India
9,29,74,1844,Cat_29,USA
10,29,77,316,Cat_29,India
11,9,61,564,Cat_9,China
12,14,146,3422,Cat_14,USA
13,30,17,1910,Cat_30,India
14,10,187,2403,Cat_10,India
15,19,145,3155,Cat_19,India
16,10,122,3332,Cat_10,India
17,15,124,1578,Cat_15,India
18,7,42,4115,Cat_7,China
19,8,63,935,Cat_8,USA
20,27,114,616,Cat_27,USA
21,6,33,3951,Cat_6,India
22,10,140,2753,Cat_10,India
23,19,46,1674,Cat_19,India
24,18,187,1200,Cat_18,India
25,18,191,2946,Cat_18,China
26,18,159,4386,Cat_18,India
27,16,168,1145,Cat_16,China
28,9,95,4567,Cat_9,China
29,18,157,3423,Cat_18,USA
30,1,114,4207,Cat_1,USA
31,4,44,1326,Cat_4,China
32,17,56,2718,Cat_17,India
33,9,118,1881,Cat_9,USA
34,24,47,4761,Cat_24,India
35,5,57,2971,Cat_5,USA
36,8,74,680,Cat_8,USA
37,12,73,1305,Cat_12,China
38,19,155,2018,Cat_19,India
39,12,181,3121,Cat_12,India
40,20,192,3067,Cat_20,USA
41,1,77,118,Cat_1,India
42,8,128,2564,Cat_8,China
43,21,45,2293,Cat_21,India
44,1,11,711,Cat_1,China
45,23,130,3298,Cat_23,USA
46,9,60,4651,Cat_9,USA
47,26,47,2234,Cat_26,India
48,1,162,4044,Cat_1,China
49,6,110,3609,Cat_6,India
50,14,133,3724,Cat_14,India
51,20,91,150,Cat_20,India
52,11,71,1125,Cat_11,USA
53,26,99,751,Cat_26,USA
54,5,31,2887,Cat_5,China
55,2,65,4910,Cat_2,USA
56,26,198,3707,Cat_26,China
57,28,190,1617,Cat_28,China
58,6,167,1577,Cat_6,China
59,8,84,1415,Cat_8,China
60,20,107,3539,Cat_20,China
61,2,8,1894,Cat_2,USA
62,10,134,1950,Cat_10,India
63,22,47,3639,Cat_22,India
64,22,52,148,Cat_22,India
65,4,72,3368,Cat_4,China
66,22,42,2834,Cat_22,China
67,19,76,4948,Cat_19,USA
68,1,126,1875,Cat_1,USA
69,13,151,1011,Cat_13,India
70,8,35,2792,Cat_8,China
