store_id,city,nb_employees,avg_salary
1,Pune,10,45535.2
2,Pune,11,53118.45
3,Delhi,10,47084.3
4,Mumbai,14,53485.57
5,Mumbai,8,41690.5
6,Mumbai,10,50880.6
7,Delhi,14,47234.21
8,Bangalore,10,50524.7
9,Delhi,7,41614.71
10,Bangalore,5,60578.0
11,Delhi,7,51883.0
12,Pune,7,43829.86
13,Bangalore,15,55881.53
14,Mumbai,8,43318.75
15,Pune,8,51792.62
16,Pune,8,53446.75
17,Delhi,12,55166.33
18,Bangalore,13,50522.46
19,Mumbai,9,50454.89
20,Mumbai,8,45023.88
21,Delhi,14,43880.79
22,Mumbai,17,55664.47
23,Pune,7,47011.57
24,Pune,9,54533.89
25,Delhi,8,45581.0
26,Pune,14,60349.36
27,Bangalore,12,42469.08
28,Mumbai,5,53379.4
29,Bangalore,15,42979.73
30,Pune,6,48617.83
31,Bangalore,13,46113.38
32,Mumbai,9,48329.22
33,Pune,12,56844.5
34,Mumbai,7,48054.86
35,Bangalore,8,55280.12
36,Delhi,9,59042.89
37,Mumbai,11,42611.27
38,Mumbai,5,54289.2
39,Pune,7,58716.71
40,Bangalore,12,46414.33
41,Pune,12,43152.17
42,Mumbai,10,52283.2
43,Pune,9,43367.11
44,Delhi,12,47995.25
45,Delhi,8,46532.25
46,Delhi,5,57789.6
47,Pune,14,51923.86
48,Mumbai,11,47779.45
49,Pune,10,48770.8
50,Pune,6,45123.83
51,Bangalore,9,41671.22
52,Mumbai,15,45860.8
53,Pune,12,45859.58
54,Mumbai,16,46807.5
55,Mumbai,12,49281.08
56,Delhi,10,50291.1
57,Mumbai,12,43683.08
58,Bangalore,15,48875.33
59,Bangalore,12,47708.17
60,Bangalore,11,51018.45
61,Pune,10,47834.6
62,Bangalore,9,43786.56
63,Delhi,11,53206.27
64,Bangalore,10,57435.7
65,Pune,5,47016.2
66,Mumbai,10,55545.8
67,Pune,11,44251.73
68,Mumbai,9,48225.33
69,Delhi,6,46626.83
70,Delhi,12,47367.17
71,Delhi,9,42660.11
72,Pune,13,51251.15
73,Bangalore,10,45572.2
74,Pune,24,50609.17
75,Mumbai,8,42121.75
76,Delhi,11,47635.09
77,Delhi,15,52920.13
78,Pune,6,47146.33
79,Bangalore,7,43305.14
80,Bangalore,7,47655.43
81,Delhi,7,66479.29
82,Mumbai,6,53585.67
83,Bangalore,12,44551.25
84,Mumbai,12,56464.67
85,Mumbai,12,58879.08
86,Mumbai,9,62354.89
87,Mumbai,4,49161.25
88,Bangalore,9,47938.33
89,Mumbai,12,39933.17
90,Mumbai,8,47418.5
91,Pune,9,48451.89
92,Pune,12,45439.83
93,Delhi,8,49229.5
94,Pune,13,55510.15
95,Mumbai,13,58985.08
96,Pune,4,45785.5
97,Mumbai,10,47051.0
98,Mumbai,5,49390.6
99,Bangalore,7,45854.0
100,Delhi,10,46656.9
